id,category
0,LED_STAGE_LIGHTS
1,LENS_FILTERS
2,CD_AND_DVD_PLAYERS
3,GATE_MOTORS
4,PUSH_AND_RIDING_TOYS
5,POWER_STEERING_HOSES
6,SOFA_AND_FUTON_COVERS
7,MUSICAL_TUNERS
8,TV_RECEIVERS_AND_DECODERS
9,EROTIC_COSTUMES
10,PROTECTION_NETS
11,GUN_HOLSTERS
12,GATE_MOTORS
13,DOG_CARRIERS_AND_CARRYING_BAGS
14,CAMERA_CHARGERS
15,CAMERA_CHARGERS
16,CELLPHONE_REPLACEMENT_CAMERAS
17,MOTORCYCLE_STARTER_MOTORS
18,FLUTES
19,CAR_ENGINE_CAMSHAFTS
20,TOOTHPASTES
21,TOILET_RUGS
22,PANTS
23,VEHICLE_CLUTCH_CABLES
24,GPS
25,TV_ANTENNAS
26,MOTORCYCLE_FENDERS
27,AV_RECEIVERS
28,SOFA_AND_FUTON_COVERS
29,TOOTHBRUSHES
30,CAR_ENGINE_CAMSHAFTS
31,DJ_CONTROLLERS
32,CAR_ENGINE_CAMSHAFTS
33,BABY_CAR_SEATS
34,MOTORCYCLE_JERSEYS
35,PET_COLLARS
36,GPS
37,ENGINE_OIL_DIPSTICKS
38,THERMAL_CUPS_AND_TUMBLERS
39,LED_STAGE_LIGHTS
40,ICE_BUCKETS
41,CAR_ENGINE_CAMSHAFT_SENSORS
42,BABY_CAR_SEATS
43,LENS_FILTERS
44,IRONS
45,CD_AND_DVD_PLAYERS
46,CELLPHONE_REPLACEMENT_CAMERAS
47,CD_AND_DVD_PLAYERS
48,INTERCOOLER_HOSES
49,CAR_DISTRIBUTOR_CAPS
50,FLUTES
51,KEY_RACKS
52,SOFA_AND_FUTON_COVERS
53,BOOKCASES
54,LENS_FILTERS
55,CV_JOINTS
56,CAR_DOOR_HINGES
57,MUSICAL_TUNERS
58,MUSICAL_TUNERS
59,CRANKSHAFTS
60,CAR_ENGINE_CAMSHAFT_SENSORS
61,HAND_POLISHERS
62,MOTORCYCLE_BATTERIES
63,IRONS
64,TOILET_RUGS
65,CACHACAS
66,POWER_STEERING_HOSES
67,CAR_DOOR_HINGES
68,KEY_RACKS
69,TOOTHPASTES
70,CD_AND_DVD_PLAYERS
71,KEY_RACKS
72,PADLOCKS
73,EROTIC_PUMPS
74,BICYCLE_HANDLEBARS
75,AQUARIUM_FILTERS
76,GYM_GLOVES
77,ELECTRIC_DRILLS
